Title,Price,Stock,Descrption,Rating,Review,Brand
MSI 23.6 Inch G Series Monitor Optix G24C4,RM 949.00,In Stock,"23.6 Inch
Curved Gaming Display (1500R)
144Hz Refresh Rate
1ms Fast Response Time
Wide Color Gamut
AMD Freesync™ Premium Technology
Anti-Flicker And Less Blue Light
Frameless Design
178° Wide View Angle – Share Your Gaming Journey With Close Ones Around You.",Not available,Not available,MSI
MSI Audio Gaming Gear Immerse GH10,RM 200.00,In Stock,"Detachable Microphone
In-line 3-Button Controller with Microphone
Powerful 13.5mm Dynamic Driver
Earbuds with Ear-Hook Design
Tangle-free Cable Design",Not available,Not available,MSI
MSI Audio Gaming Gear immerse GH50,RM 370.00,In Stock,"2 X 40mm Neodymium Drivers With Virtual 7.1 Surround Sound And Vibration System
RGB Mystic Light With Millions Of Colors And Various Effects
Sturdy Metal Construction And Foldable Headband Design
Detachable Microphone
Inline Controller For Volume, Muting Mic, 7.1 Sound And Vibration Toggle
Carry Pouch Included In Retail Box",Not available,Not available,MSI
HUAWEI MateBook 14,"RM 3,699.00 - RM 4,599.00",In Stock,2K FullView Display,Not available,Not available,HUAWEI
TP-Link Deco M5 AC1300 Whole Home Mesh Wi-Fi System (2-Pack),RM 539.00,In Stock,"AC1300 Whole-Home Mesh Wi-Fi System
Qualcomm 717MHz Quad-core CPU
867Mbps at 5GHz+400Mbps at 2.4GHz
2 Gigabit Ports
4 antennas
256QAM
MU-MIMO
Beamforming
DFS for Europe version, HomeCare(Parental Controls, Built-In Antivirus, Quality of Service, Reporting), Access Point Mode, IPv6 Ready, Assisted Setup, Deco App, Bluetooth Onboarding, Cloud Support",Not available,Not available,TP-Link
TP-Link Deco E4 AC1200 Whole Home Mesh Wi-Fi System (2-Pack),RM 299.00,Out Of Stock,"AC1200 Whole-Home Mesh Wi-Fi System
Qualcomm CPU, 867Mbps at 5GHz+300Mbps at 2.4GHz
2 10/100Mbps Ports
2  internal antennas
MU-MIMO
Beamforming, Parental Controls, Quality of Service, Reporting, Access Point Mode, IPv6 Ready, Assisted Setup, Deco App, Cloud Support, Alexa & IFTTT supported",Not available,Not available,TP-Link
TP-Link Archer AX50 AX3000 Dual Band Gigabit Wi-Fi 6 Router,RM 329.00,In Stock,"AX3000 Wi-Fi 6 Router
Dual-Core CPU
2402Mbps at 5GHz+574Mbps at 2.4GHz
5 Gigabit Ports
1 USB 3.0
4 Antennas
Downlink and Uplink OFDMA, MU-MIMO, HT160, 1024QAM, Smart Connect, Beamforming, DFS, HomeCare, Link Aggregation, IPTV, Access Point Mode, VPN Server , IPv6 Ready, Tether App, Cloud Support",Not available,Not available,TP-Link
TP-Link Archer AX20 AX1800 Dual-Band Wi-Fi 6 Router,RM 249.00,In Stock,"AX1800 Dual-Band Wi-Fi 6 Router
SPEED: 574 Mbps at 2.4 GHz + 1201 Mbps at 5 GHz
SPEC: 4× Antennas, Broadcom 1.5 GHz Quad-Core CPU, 1× Gigabit WAN Port + 4× Gigabit LAN Ports, USB 2.0 Port, 1024-QAM, OFDMA
FEATURE: Tether App, Access Point Mode, IPv6 Ready, IPTV, Beamforming, Smart Connect, Airtime Fairness, VPN Server, Cloud Support",Not available,Not available,TP-Link
TP-Link Archer TX50E AX3000 Wi-Fi 6 Bluetooth 5.0 PCIe Adapter,RM 149.00,Out Of Stock,Wi-Fi 6 Bluetooth 5.0 PCIe Adapter,Not available,Not available,TP-Link
TP-Link AX1500 Wi-Fi 6 Router Archer AX10,RM 199.00,Out Of Stock,"AX1500 Wi-Fi 6 Router
Broadcom 1.5GHz Tri-Core CPU
1201Mbps at 5GHz+300Mbps at 2.4GHz
5 Gigabit Ports
4 Antennas
Downlink and Uplink OFDMA, MU-MIMO, 1024QAM, Smart Connect, Beamforming, IPTV, Access Point Mode, VPN Server , IPv6 Ready, Tether App, Cloud Support",Not available,Not available,TP-Link
TP-Link AX6000 Wi-Fi 6 Next-Gen Router Archer AX6000,"RM 1,029.00",Out Of Stock,"AX6000 Dual-Band Wi-Fi 6 Router
SPEED: 1148 Mbps at 2.4 GHz + 4804 Mbps at 5 GHz
SPEC: 8× Antennas, Broadcom 1.8 GHz Quad- Core CPU, 1× 2.5 Gbps WAN Port + 8× Gigabit LAN Ports, USB-C 3.0 Port + USB-A 3.0 Port, 1024-QAM, OFDMA, HT160
FEATURE: Tether App, WPA3, Access Point Mode, IPv6 Supported, IPTV, Beamforming, Smart Connect, Airtime Fairness, MU-MIMO, VPN Server and Acceleration, DFS, Cloud Support, Link Aggregation, Bluetooth Onboarding, HomeCare",Not available,Not available,TP-Link
