Title,Price,Stock,Descrption,Rating,Review,Brand
ROG Zephyrus Duo 15 SE GX551 GX551Q-SHF173TS [AMD Ryzen™ 9 / 16GB+1TB SSD / NVIDIA® GeForce RTX™ 3080],"RM 17,999.00",Out Of Stock,"15.6"" FHD

AMD Ryzen™ 9

16GB RAM + 1TB SSD 

NVIDIA® GeForce RTX™ 3080 

Windows 10 (Preloaded MS Office Home & Student) ",Not available,Not available,ROG
MSI 31.5 Inch Optix Monitor G32CQ4,"RM 1,839.00",In Stock,Curved Gaming display (1500R) ,Not available,Not available,MSI
MSI MPG Trident A 11TC-2247MY i5-11400F,"RM 6,499.00",In Stock,CPU: i5-11400F,Not available,Not available,MSI
HUAWEI MateBook D14 (i5-10210U / 8 GB / 512GB SSD),"RM 3,299.00",In Stock,Fitted with 1920 x 1080 IPS screen,Not available,Not available,HUAWEI
Microsoft Office Professional 2021 (Digital Download Delivery),"RM 1,799.00",In Stock,THIS PRODUCT IS NON-REFUNDABLE.,Not available,Not available,Microsoft
Canon PIXMA Printer G2010,RM 579.00,In Stock,"Print, Scan, Copy",Not available,Not available,Canon
Canon PIXMA Printer MG3070S,RM 269.00,In Stock,"Print, Scan, Copy",Not available,Not available,Canon
MSI CLUTCH GM20 ELITE Gaming Mouse,RM 138.00,In Stock,Fast and Accurate Optical Sensor,Not available,Not available,MSI
MSI Gaming Headset Immerse GH61,RM 529.00,In Stock,Hi-Res Virtual 7.1 Surround Sound,Not available,Not available,MSI
MSI Gaming Headset Immerse GH20,RM 189.00,In Stock,2.5cm-thick Ear Cups Design For Glasses-user-friendly,Not available,Not available,MSI
MSI VIGOR GK30 Gaming Keyboard and Gaming Mouse Combo,RM 259.00,In Stock,Mechanical-like plunger switches for a crisp typing experience,Not available,Not available,MSI
MSI Vigor GK20 Gaming Keyboard,RM 150.00,In Stock,Ergonomic Designed Keycaps,Not available,Not available,MSI
MSI AGILITY GD70 Mousepad,RM 149.00,In Stock,Silk Gaming Fabric surface,Not available,Not available,MSI
Microsoft Surface Go 24W Power Supply (KVG-00005),RM 222.00,Out Of Stock,Output Power 24 W,Not available,Not available,Microsoft
MSI AGILITY GD20 Mousepad,RM 70.00,In Stock,"Ultra-smooth, low-friction textile surface",Not available,Not available,MSI
HP Laptop 15S-DU1510TU [i3-10110U Processor / 8GB / 512GB SSD / Intel UHD],"RM 2,519.00",Out Of Stock,"15.6"" Diagonal HD

Intel® UHD Graphics

8GB RAM + 512GB SSD 

Windows 10 Home

10th Generation

Intel® Core™ i3 Processor",Not available,Not available,HP
MSI CLUTCH GM41 LIGHT WEIGHT Gaming Mouse,RM 189.00,In Stock,"Take Flight, 65g Ultra-Light",Not available,Not available,MSI
MSI 27 Inch Modern Monitor MD271P,"RM 1,089.00 - RM 1,149.00",In Stock,1920 x 1080 (FHD),Not available,Not available,MSI
Dynabook Satellite Pro C40-H201 [i3-1005G1 Processor / 4GB / 256GB / Intel® UHD],"RM 2,699.00",In Stock,"14"" Full HD

Intel® Core™ i7

Windows 11 Home

4GB RAM + 256GB SSD

Intel® Iris® Xe Graphics",Not available,Not available,Dynabook
MSI Clutch GM41 Lightweight Wireless Gaming Mouse,RM 385.00,In Stock,74 gram total mouse weight,Not available,Not available,MSI
MSI Vigor GK50 Elite Kailh Blue Gaming Keyboard,RM 369.00,In Stock,Mechanical switches provide accuracy and endurance,Not available,Not available,MSI
ASUS A516E-AEJ810TS [Intel® Core™ i3-1115G4 / 4GB+256GB SSD / Intel® UHD Graphics],"RM 2,299.00",In Stock,"15.6"" LED 

Intel® UHD Graphics

4GB RAM + 256GB SSD 

Intel® UHD Graphics 

Windows 10 (Preloaded MS Office Home  & Student) ",Not available,Not available,ASUS
MSI Force GC30 V2 Wireless Controller,RM 259.00,In Stock,Support for Wireless,Not available,Not available,MSI
MSI Force GC20 V2 Controller,RM 195.00,In Stock,Support PC and Android,Not available,Not available,MSI
ASUS Chromebook Flip C214 [Intel® Celeron® N4020 / 4GB+32GB / Intel® UHD Graphics 600],"RM 1,299.00",In Stock,"11.6"" LED 

Intel® UHD Graphics 600 

4GB LPDDR4 + 32GB EMMC 

Intel® UHD Graphics 600

Chrome OS",Not available,Not available,ASUS
Microsoft Surface Pro X 13-Inch - SQ1™ / 8GB RAM / 128GB / WiFi (Platinum),"RM 4,150.00",In Stock,High-resolution 13” PixelSense™ touchscreen,Not available,Not available,Microsoft
MSI 27.9 Inch Optix Monitor MAG281URF,"RM 3,299.00",In Stock,4K High Resolution,Not available,Not available,MSI
MSI 32 Inch Summit Monitor MS321UP,"RM 3,999.00",In Stock,32-inch 4K UHD (3840 x 2160 / 16:9) ,Not available,Not available,MSI
Microsoft Surface Pro 8,"RM 4,950.00 - RM 9,101.00",In Stock,Larger 13” touchscreen display,Not available,Not available,Microsoft
Microsoft Surface Slim Pen 2,RM 499.00,Out Of Stock,Sleek and comfortable,Not available,Not available,Microsoft
Microsoft Surface Slim Pen Charger,RM 139.00,Out Of Stock,Charger for Surface Slim Pen 2 and Slim Pen,Not available,Not available,Microsoft
Microsoft Surface Pro Signature Keyboard with Slim Pen 2,"RM 1,099.00",In Stock,"Large glass touchpad, luxurious, Alcantara® material",Not available,Not available,Microsoft
Acer Aspire 3 ACE-A315-35-P6GU [Intel Pentium Silver N6000 / 4GB+512GB / Intel® UHD Graphics],"RM 2,099.00",In Stock,"15.6"" FHD 

Intel Pentium Silver N6000

4GB RAM + 512GB SSD 

Intel® UHD Graphics 

Windows 10 (Preloaded MS Office Home  & Student) ",Not available,Not available,Acer
Acer Enduro Urban N3 ACE-EUN314A-51W-592A [Intel® CoreTM i5-1135G7 / 8GB+512GB / Intel® Iris® Xe Graphics],"RM 3,599.00",In Stock,"14"" FHD 

Intel® CoreTM i5-1135G7

8GB RAM + 512GB SSD 

Intel® Iris® Xe Graphics 

Windows 10 (Preloaded MS Office Home  & Student)",Not available,Not available,Acer
Acer Swift 3 ACE-SF314-511-76QE [Intel® Core i7-1165G7 / 16GB+512GB / Intel® Iris® Xe Graphics],"RM 4,399.00",In Stock,"14"" FHD 

Intel® CoreTM i7-1165G7

16GB RAM + 512GB SSD

Intel® Iris® Xe Graphics 

Windows 11 (Preloaded MS Office Home  & Student) ",Not available,Not available,Acer
TP-Link Deco X90 AX6600 Whole Home Mesh Wi-Fi System (2-Pack),"RM 1,499.00",In Stock,AX6600 Tri-Band WiFi,Not available,Not available,TP-Link
Acer Aspire XC Series XC340-3250W10 [AMD Athlon Gold 3150U/4GB+256GB/AMD Radeon Graphics/W11/Wireless KBM/OPI],"RM 1,749.00",Out Of Stock,Not available,Not available,Not available,Acer
Microsoft Surface Pro 7+,"RM 3,599.00 - RM 4,299.00",In Stock,A brilliant 12.3” display,Not available,Not available,Microsoft
"HP M24F 23.8"" FHD IPS Monitor",RM 629.00,In Stock,"23.8""",Not available,Not available,HP
[Pre-order] Microsoft Surface Laptop Studio (ETA: 8 March onwards),"RM 7,399.00 - RM 9,399.00",In Stock,14.4” 120Hz touchscreen,Not available,Not available,[Pre-order]
Acer Nitro 5 ACE-AN515-45-R7ND [AMD Ryzen 5 5600H / 8GB+512GB / NVIDIA® GeForce®],"RM 3,999.00",In Stock,"15.6"" FHD

AMD Ryzen 55600H

8GB RAM + 512GB SSD 

NVIDIA® GeForce® GTX 1650

Windows 11 (Preloaded MS Office Home  & Student)",Not available,Not available,Acer
Acer Predator Helios 300 ACE-PH317-55-76CR [Intel® Core™ i7-11800H / 16GB+512GB / NVIDIA® GeForce RTX™],"RM 7,999.00",In Stock,"17.3"" FHD 

Intel® Core™ i7-11800H

16GB RAM + 512GB SSD

NVIDIA® GeForce RTX™

Windows 10 (Preloaded MS Office Home  & Student)",Not available,Not available,Acer
