,Product_Name,Price
125,Apple iMac 24-Inch (2 ports),"RM 5,599.00"
126,HP ENVY Laptop - 15-ep0010tx,"RM 6,999.00"
127,Acer 15.6-Inch Predator Helios 300 PH315-53-79E7,"RM 5,499.00"
128,MSI Optix G27CQ4 27 Inch Monitor MSI-G27CQ4,"RM 1,638.00"
129,MSI MPG ARTYMIS 343CQR 34 Inch Monitor MSI-MPG343CQR,"RM 3,999.00"
130,Promate Laptop Cooling Pad Air Base-1,RM 85.00
131,Targus 360 Perimeter Laptop Sleeve,RM 84.00 - RM 103.00
132,SanDisk Ultra USB 3.0 Flash Drive,RM 29.00 - RM 34.00
133,TP-Link AC1200 Whole Home Mesh Wi-Fi System Deco M4 V1 (2-pack),RM 399.00
134,HP Spectre x360 Convertible 13.3 inch (i5-1135G7/8GB Onboard/512GB SSD) 13AW2099TU,"RM 5,699.00"
135,HP Spectre x360 Convertible 13.5 inch (i7-1165G7/16GB onboard/1TB SSD) 14EA0054TU,"RM 7,099.00"
136,HP Spectre x360 Convertible 13.3 inch (i7-1165G7/16GB onboard/1TB SSD) 13AW2100TU,"RM 6,899.00"
137,Apple Magic Keyboard with Numeric Keypad,RM 489.00
138,Apple Magic Keyboard for iPad Air (4th generation) and iPad Pro 11-inch (2nd generation),"RM 1,349.00"
139,Apple USB-C Digital AV Multiport Adapter,RM 349.00
140,HP Slim S01-PF1166D Desktop PC (I5-10400/8GB/512GB SSD),"RM 2,899.00"
141,Microsoft USB-C Travel Hub-Black,RM 445.00
142,Microsoft Wired Desktop 600-Black,RM 82.00
143,Microsoft Wireless Desktop 3050,RM 229.00
144,Microsoft Bluetooth Desktop-Black,RM 275.00
145,HP ENVY13 (i7-1165G7/16GB DDR4/512GB SSD/ MX450 2GB) 13-BA1011TX,"RM 5,499.00"
146,HP 14S(AMD 3020E/4GB/256GB SSD) 14-SFQ0058AU,"RM 1,649.00"
147,Microsoft Comfort Mouse 4500,RM 102.00
148,Microsoft Modern Mobile Mouse (Bluetooth),RM 155.00
149,Microsoft Arc Mouse,RM 339.00
150,Logitech M377 Bluetooth Mouse,RM 0.00
151,TP-Link AX5400 Dual-Band Gigabit Wi-Fi 6 Router Archer AX73,RM 449.00
152,Logitech M171 Wireless Mouse,RM 46.00
153,Logitech B175 Wireless Mouse,RM 35.00
154,HP Laptop 14s-fq0075AU 14-Inch (R3-4300U/4GB/512GB SSD),"RM 2,169.00"
155,HP Pavilion Gaming 15 Laptop (i7-1165G7/8GB/512GB SSD/MX450 2GB) 15-EG0109TX,"RM 4,109.00"
156,Logitech MK240 NANO Wireless Keyboard and Mouse Combo,RM 0.00
157,Logitech MX Master 3,RM 449.00
158,Logitech MX Master 2S,RM 349.00
159,Logitech M590 Multi-Device Silent,RM 139.00
