Tweet,Date,Time,User Name,Twitter Handle,Location,Followers Count,Following Count,Profile URL,Profile Image URL,Profile Banner URL,Account Creation Date,Retweet Count,Favorite Count,Reply Count,Hashtags,User Mentions,Media URLs,Tweet URL,Coordinates,Language,Source,Is Retweet,Is Quote Status,Quoted Status,In Reply To User,Place,Entities,Is Verified User,Is Retweeted,Is Favorited
"RT @money_rebellion: 💕 To the communities fighting for survival against the fossil fuel industry... Barclays, Drax, Standard Chartered, BP,…",2023-05-19,20:42:13,Sheila Freeman,SheilaF03068503,,51,119,,http://pbs.twimg.com/profile_images/1437050146936827904/rAjIN5z3_normal.png,,2021-09-12,142,0,0,[],['money_rebellion'],[],https://twitter.com/SheilaF03068503/status/1659660753635356679,,en,Twitter for Android,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}], 'urls': []}",False,False,False
"Our banks are in a dangerous relationship with oil companies. In the last year, @BarclaysUK, @HSBC_UK, @Santanderuk, @lloydsbank &amp; @natwestgroup have provided $37 billion to the fossil fuel industry 🤯

I've told my mine to stop - will you do the same? https://t.co/RpmQlRdiik",2023-05-19,19:58:28,Markais#ClimateActionNow,Markais18,Citizen of everywhere,4954,5319,,http://pbs.twimg.com/profile_images/954436217617121282/50-1J6ox_normal.jpg,https://pbs.twimg.com/profile_banners/786830491580305408/1609443496,2016-10-14,0,1,0,[],"['BarclaysUK', 'HSBC_UK', 'santanderuk', 'LloydsBank', 'NatWestGroup']",[],https://twitter.com/Markais18/status/1659649744820379660,,en,Twitter for iPhone,False,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BarclaysUK', 'name': 'Barclays UK', 'id': 338559800, 'id_str': '338559800', 'indices': [80, 91]}, {'screen_name': 'HSBC_UK', 'name': 'HSBC UK', 'id': 2922732233, 'id_str': '2922732233', 'indices': [93, 101]}, {'screen_name': 'santanderuk', 'name': 'Santander UK', 'id': 42664060, 'id_str': '42664060', 'indices': [103, 115]}, {'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [117, 128]}, {'screen_name': 'NatWestGroup', 'name': 'NatWest Group', 'id': 429724798, 'id_str': '429724798', 'indices': [135, 148]}], 'urls': [{'url': 'https://t.co/RpmQlRdiik', 'expanded_url': 'https://makemymoneymatter.co.uk/hiddenrelationship/', 'display_url': 'makemymoneymatter.co.uk/hiddenrelation…', 'indices': [256, 279]}]}",False,False,False
"RT @money_rebellion: 💕 To the communities fighting for survival against the fossil fuel industry... Barclays, Drax, Standard Chartered, BP,…",2023-05-19,19:36:14,andrew white,WokeBotMan,,5,53,,http://pbs.twimg.com/profile_images/1643665283540713505/ZHrim4Eb_normal.png,,2023-04-05,142,0,0,[],['money_rebellion'],[],https://twitter.com/WokeBotMan/status/1659644148557684742,,en,Twitter for iPhone,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}], 'urls': []}",False,False,False
@nostalgiaoty Hi Charley. Please do not use abusive or offensive language whilst using our social media service. You can read more about this in section 14 of our terms of use which can be found here: https://t.co/Zh0H3BwZJ2. ^Tony,2023-05-19,19:35:49,Lloyds Bank,LloydsBank,,145131,15819,https://t.co/sBqyhcxjMl,http://pbs.twimg.com/profile_images/1592812292428730369/6TYCXgjJ_normal.jpg,https://pbs.twimg.com/profile_banners/147932302/1678457367,2010-05-25,0,0,0,[],['nostalgiaoty'],[],https://twitter.com/LloydsBank/status/1659644043473608704,,en,Sprinklr,False,False,,nostalgiaoty,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nostalgiaoty', 'name': 'charley', 'id': 1194661489535279105, 'id_str': '1194661489535279105', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/Zh0H3BwZJ2', 'expanded_url': 'http://spr.ly/6016OcsJr', 'display_url': 'spr.ly/6016OcsJr', 'indices': [201, 224]}]}",False,False,False
fuck you @LloydsBank I want £100 https://t.co/v2iFkQHZbm,2023-05-19,19:32:55,charley,nostalgiaoty,,4202,3626,,http://pbs.twimg.com/profile_images/1653131956828119072/XnI0RNm4_normal.jpg,https://pbs.twimg.com/profile_banners/1194661489535279105/1682972358,2019-11-13,0,0,0,[],['LloydsBank'],[],https://twitter.com/nostalgiaoty/status/1659643313073299464,,en,Twitter for iPhone,False,True,Nationwide is giving its members 100 quid (!) which I'm choosing to believe is compensation for making us use those lame little card readers way after everyone else stopped using them,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [9, 20]}], 'urls': [{'url': 'https://t.co/v2iFkQHZbm', 'expanded_url': 'https://twitter.com/sophlouisehall/status/1659483830334439425', 'display_url': 'twitter.com/sophlouisehall…', 'indices': [33, 56]}]}",False,False,False
@LloydsBank why can’t you do this too 😠 https://t.co/TJgoaGxLPD,2023-05-19,19:32:52,meredith grey stan,plsitsnotme,somewhere,4396,361,,http://pbs.twimg.com/profile_images/1644465728102227968/cMIO4AC6_normal.jpg,https://pbs.twimg.com/profile_banners/3317641241/1575201941,2015-06-10,0,0,0,[],['LloydsBank'],[],https://twitter.com/plsitsnotme/status/1659643301991948303,,en,Twitter for iPhone,False,True,Nationwide giving me £100 just for banking with them. Look at GOD!,LloydsBank,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/TJgoaGxLPD', 'expanded_url': 'https://twitter.com/boofdaddi/status/1659531690191073282', 'display_url': 'twitter.com/boofdaddi/stat…', 'indices': [40, 63]}]}",False,False,False
@LloydsBank come see your age mates https://t.co/Qp9igJ0nPZ,2023-05-19,19:30:29,Ødegaard’s right foot,PhilAppz,Buckingham Palace,1871,1015,,http://pbs.twimg.com/profile_images/1566978407048613888/oDsQL7y6_normal.jpg,https://pbs.twimg.com/profile_banners/254516956/1629482056,2011-02-19,0,0,0,[],['LloydsBank'],[],https://twitter.com/PhilAppz/status/1659642700134596610,,en,Twitter for iPhone,False,True,"🚨 | Nationwide will pay £340m of profits directly into customers’ accounts

More below 👇 https://t.co/0rt0TCXg9M",LloydsBank,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/Qp9igJ0nPZ', 'expanded_url': 'https://twitter.com/ladbible/status/1659524555516387330', 'display_url': 'twitter.com/ladbible/statu…', 'indices': [36, 59]}]}",False,False,False
"RT @money_rebellion: 💕 To the communities fighting for survival against the fossil fuel industry... Barclays, Drax, Standard Chartered, BP,…",2023-05-19,19:10:33,Progressive Global Commons,ProGloCommons,Global,3456,5002,,http://pbs.twimg.com/profile_images/1420409489971314692/pzsWc5tI_normal.jpg,https://pbs.twimg.com/profile_banners/388383447/1586374287,2011-10-10,142,0,0,[],['money_rebellion'],[],https://twitter.com/ProGloCommons/status/1659637686670626817,,en,Twitter Web App,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}], 'urls': []}",False,False,False
"RT @money_rebellion: 💕 To the communities fighting for survival against the fossil fuel industry... Barclays, Drax, Standard Chartered, BP,…",2023-05-19,19:06:27,#ExtinctionRebellion Brighton (⧖),XRBrighton,"Brighton, Earth ",4114,1673,https://t.co/XBJ4fcZFci,http://pbs.twimg.com/profile_images/1597364815546269697/wZ4JJr-2_normal.jpg,https://pbs.twimg.com/profile_banners/1071507981592944640/1682526022,2018-12-08,142,0,0,[],['money_rebellion'],[],https://twitter.com/XRBrighton/status/1659636654863155200,,en,Twitter for Android,True,False,,,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'money_rebellion', 'name': 'XR Money Rebellion 🌍🌱🏳️\u200d⚧️', 'id': 1227611320339619840, 'id_str': '1227611320339619840', 'indices': [3, 19]}], 'urls': []}",False,False,False
"@PunisherMoon1 @LloydsBank must bee the people at my end.
not very helpful",2023-05-19,18:50:56,〓〓 Cornish Games Night 〓〓,CornishGames,"South West, England",259,221,https://t.co/UxiMIFj7JX,http://pbs.twimg.com/profile_images/1546189198633443329/qXL0Cbdd_normal.jpg,https://pbs.twimg.com/profile_banners/764727437259333632/1661864080,2016-08-14,0,0,0,[],"['PunisherMoon1', 'LloydsBank']",[],https://twitter.com/CornishGames/status/1659632748808552470,,en,Twitter Web App,False,False,,PunisherMoon1,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PunisherMoon1', 'name': 'PunisherMoon|Content Creator | #Gamescom23', 'id': 1101436476888440832, 'id_str': '1101436476888440832', 'indices': [0, 14]}, {'screen_name': 'LloydsBank', 'name': 'Lloyds Bank', 'id': 147932302, 'id_str': '147932302', 'indices': [15, 26]}], 'urls': []}",False,False,False
